Loop 1:	FinalProfit is 115580.0
Loop 2:	FinalProfit is 203750.0
Loop 3:	FinalProfit is 255060.0
Loop 4:	FinalProfit is 269310.0
Loop 5:	FinalProfit is 272860.0
Loop 6:	FinalProfit is 273610.0
Loop 7:	FinalProfit is 273710.0
Loop 8:	FinalProfit is 278360.0
Loop 9:	FinalProfit is 274660.0
Loop 10:	FinalProfit is 277260.0
Loop 11:	FinalProfit is 279460.0
Loop 12:	FinalProfit is 270260.0
Loop 13:	FinalProfit is 276910.0
Loop 14:	FinalProfit is 275510.0
Loop 15:	FinalProfit is 274510.0
Loop 16:	FinalProfit is 280310.0
Loop 17:	FinalProfit is 271860.0
Loop 18:	FinalProfit is 273710.0
Loop 19:	FinalProfit is 274110.0
Loop 20:	FinalProfit is 273460.0
Loop 21:	FinalProfit is 274110.0
Loop 22:	FinalProfit is 274210.0
Loop 23:	FinalProfit is 277660.0
Loop 24:	FinalProfit is 275460.0
Loop 25:	FinalProfit is 273360.0
Loop 26:	FinalProfit is 273560.0
Loop 27:	FinalProfit is 273910.0
Loop 28:	FinalProfit is 274060.0
Loop 29:	FinalProfit is 270660.0
Loop 30:	FinalProfit is 274460.0
Loop 31:	FinalProfit is 277310.0
Loop 32:	FinalProfit is 272910.0
Loop 33:	FinalProfit is 273760.0
Loop 34:	FinalProfit is 271510.0
Loop 35:	FinalProfit is 275410.0
Loop 36:	FinalProfit is 274710.0
Loop 37:	FinalProfit is 273810.0
Loop 38:	FinalProfit is 273260.0
Loop 39:	FinalProfit is 276960.0
Loop 40:	FinalProfit is 274560.0
Loop 41:	FinalProfit is 273860.0
Loop 42:	FinalProfit is 276110.0
Loop 43:	FinalProfit is 276560.0
Loop 44:	FinalProfit is 270760.0
Loop 45:	FinalProfit is 269460.0
Loop 46:	FinalProfit is 274460.0
Loop 47:	FinalProfit is 272510.0
Loop 48:	FinalProfit is 272860.0
Loop 49:	FinalProfit is 274760.0
Loop 50:	FinalProfit is 275610.0
Loop 51:	FinalProfit is 272910.0
Loop 52:	FinalProfit is 272610.0
Loop 53:	FinalProfit is 277110.0
Loop 54:	FinalProfit is 274660.0
Loop 55:	FinalProfit is 274260.0
Loop 56:	FinalProfit is 273560.0
Loop 57:	FinalProfit is 274510.0
Loop 58:	FinalProfit is 275660.0
Loop 59:	FinalProfit is 272860.0
Loop 60:	FinalProfit is 270610.0
Loop 61:	FinalProfit is 273060.0
Loop 62:	FinalProfit is 275810.0
Loop 63:	FinalProfit is 269410.0
Loop 64:	FinalProfit is 275510.0
Loop 65:	FinalProfit is 276910.0
Loop 66:	FinalProfit is 275210.0
Loop 67:	FinalProfit is 274110.0
Loop 68:	FinalProfit is 274110.0
Loop 69:	FinalProfit is 278010.0
Loop 70:	FinalProfit is 270510.0
Loop 71:	FinalProfit is 271610.0
Loop 72:	FinalProfit is 272710.0
Loop 73:	FinalProfit is 274460.0
Loop 74:	FinalProfit is 272960.0
Loop 75:	FinalProfit is 274010.0
Loop 76:	FinalProfit is 277710.0
Loop 77:	FinalProfit is 269960.0
Loop 78:	FinalProfit is 275360.0
Loop 79:	FinalProfit is 271610.0
Loop 80:	FinalProfit is 269260.0
Loop 81:	FinalProfit is 272510.0
Loop 82:	FinalProfit is 276410.0
Loop 83:	FinalProfit is 273260.0
Loop 84:	FinalProfit is 272460.0
Loop 85:	FinalProfit is 274410.0
Loop 86:	FinalProfit is 276960.0
Loop 87:	FinalProfit is 275410.0
Loop 88:	FinalProfit is 276760.0
Loop 89:	FinalProfit is 276610.0
Loop 90:	FinalProfit is 270860.0
Loop 91:	FinalProfit is 273860.0
Loop 92:	FinalProfit is 274810.0
Loop 93:	FinalProfit is 272160.0
Loop 94:	FinalProfit is 270960.0
Loop 95:	FinalProfit is 274310.0
Loop 96:	FinalProfit is 272760.0
Loop 97:	FinalProfit is 276160.0
Loop 98:	FinalProfit is 271360.0
Loop 99:	FinalProfit is 272660.0
Loop 100:	FinalProfit is 276460.0
